chamber,layerno,branchnumber,stemnumber,oldbranchnumber,azimuthangle ,diameter,length, insertionheight,tipheight,br2order,Wleafandpetiole,WsubsampleLA,leafarea,Wnonexpleaf,Wflowerbuds,Wbrlt1,Wbrgt1,Wdeadwood,Comments
ch02,3,3,1,57,S,1.55,200,380.5,310,23,340.7,94.9,3023.5,,,182.2,117.1,,Wall
ch02,3,4,1,64,NW,0.52,61,442,395,3,13.4,,390.47,,,10.9,0,,
ch02,3,5,1,58,SW,1.41,144,390,336,12,146.2,97.7,2955.96,,,104.4,25.8,,
ch02,4,1,1,72,SW,0.56,77,513,453.5,3,32.5,,956.39,,,13.8,0,,
ch02,4,2,1,80,S,0.73,107,542.5,458.5,4,64.4,,2053.89,,,30.3,0,,
ch02,4,3,1,84,SSE,0.88,107,577.5,554.5,6,68.7,,2184.4,,,51.8,0,,Growing tip Broken
ch02,4,4,1,69,NE,1.01,114,489.5,455,11,105.9,,3183.08,,,58.9,4.6,,
ch02,4,5,1,85,N,1.05,138,592,568,12,136.9,,3563.18,,,100.8,0,,
ch02,5,1,1,91,N,0.85,108,628,621,7,70.3,,1894.46,,,48.9,0,,
ch02,5,2,1,96,E,0.69,97,667,644,6,63.9,,1809.89,,,26.6,0,,
ch02,5,3,1,103,S,0.58,80,716,701,4,32.6,,915.29,,,20.9,0,,
ch02,5,4,1,90,W,0.55,95,622,572,2,39.2,,1118.72,,,16.8,0,,
ch02,5,5,1,101,SE,0.9,168,703,666,12,110,,3067.67,,,85.3,0,,
ch03,1,1,1.2,7,SE,1.49,120,84,5,6,190,69.4,2912.47,,,132.2,50.3,,
ch03,1,2,1.2,22,SE,1.68,260,127,121,32,361.1,68.5,2878.92,2.04,0.7,186.1,304.4,,Wall
ch03,1,3,1.2,35,E,0.42,72,128,60,2,12.9,,535.24,,,7.9,0,,Wall
ch03,1,4,1.1,19,N,1.06,99,166,100,8,84.9,,3226.5,,,60.6,26.9,,Growing tip Broken
ch03,1,5,1.1,17,W,1,152,152.5,20,14,143.8,77.9,3113.78,,,112.3,0,,
ch03,2,1,1.1,39,NE,1.39,153,258.5,162,11,95,,3578.06,,,93.5,67.4,,
ch03,2,2,1.1,35,E,3.9,672,232,875,80,2909.8,75.8,2812.92,52.9,12.45,2425.53,4849.9,,
ch03,2,3,1.1,36,S,0.86,117,241.5,163,6,80.1,,3090.95,,,45.3,0,,
ch03,2,4,1.1,25,W,1.09,135,196,90,12,178.1,79,2944.41,,,108.6,4.59,,
ch03,2,5,1.1,45,N,1.02,101,312,229,7,81.4,,3221.78,,,68.2,0,,
ch03,3,1,1.1,53,SW,1.45,142,399.5,356,11,173.1,84.8,3390.58,,,108,51.1,,
ch03,3,2,1.1,54,E,1.63,179,410,353,19,221.4,79.7,3066.38,,,149.8,80.8,,
ch03,3,3,1.1,48,S,3.01,403,337,673,55,1555.3,103.6,3765.66,16.3,19.6,865.3,1480.3,,Wall
ch03,3,4,1.1,51,NE,3.27,344,371.5,480,37,1497.1,94.5,3362.5,7.4,26.4,1017.4,1674.8,,Wall
ch03,3,5,1.1,55,W,1.48,113,417,393,15,179.2,80.9,3202.11,,,101,46.8,,
ch03,4,1,1.1,72,E,0.37,54,513.5,477,0,10.9,,447.05,,,4.5,0,,
ch03,4,2,1.1,77,W,1.01,142,549.5,473,13,94.7,,3475.49,,,73.6,0,,
ch03,4,3,1.1,64,SSW,2.51,435,480,875,53,1312,86.3,3238.34,31,,774,1218,,Touching Damper
ch03,4,4,1.1,75,N,2.17,270,533.5,725,31,681,82.6,3145.84,8.8,,333.2,525.17,,Wall
ch03,4,5,1.1,79,E,1.06,148,570,510,12,133,,5186,,,91.7,7,,
ch03,5,1,1.1,90,SW,0.43,55,656.5,628,1,12.4,,433.87,,,5.76,0,,
ch03,5,2,1.1,88,E,1.53,210,638.5,635,20,295.4,84.2,3218.86,,,144.6,115,,Wall
ch03,5,3,1.1,92,S,0.58,97,677.5,668,1,40.8,,1406.4,,,17.9,0,,
ch03,5,4,1.1,93,N,0.74,102,688,628,11,55.7,,2072.43,,,31.3,0,,
ch03,5,5,1.1,94,W,0.93,142,698,604.5,14,123.7,85.2,3250.01,6.4,,71.2,0,,
ch04,1,1,1.1.1,20,S,1.17,123,141,92,8,51.8,,2258.03,,,64.8,13.5,,
ch04,1,2,1.2.1,5,NE,0.53,94,79,5,3,7.1,,298.63,,,15.17,0,,
ch04,1,3,1.1.2,4,W,2.04,166,80.5,122,21,140.3,79.7,3340.41,16.3,,154,213.6,,
ch04,1,4,1.2.1,10,E,0.59,103,95,5,4,26.9,,1264.58,,,17.7,0,,
ch04,1,5,1.1.1,22,N,1.12,130,153,91,8,57.3,,2404.62,,,82.2,10.2,,
ch04,2,1,1.1.1,41,S,0.86,105,258,492,8,41.5,,1559.21,,,38.5,0,,Wall
ch04,2,2,1.2.1,30,NW,0.71,75,225.5,181,4,22.7,,969.18,,,21.2,0,,
ch04,2,3,1.2.1,26,N,1.95,268,204,327,35,336.6,83.9,3131.52,,,252.6,299.9,,Wall
ch04,2,4,1.2.2,27,NE,0.84,113,225,180,10,52.6,,1859.93,,,41.8,0,,
ch04,2,5,1.1.1,32,SW,2.14,344,219,212,41,498.6,92,3118.62,19.7,,328.2,476.8,,
ch04,3,1,1.1.1,47,S,0.45,64,297,268.5,1,9.7,,344.28,,,6.8,0,,
